Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
1991,Cal Ripken,Orioles,162,717,34,99,114,6,7.40%,6.40%,0.243,0.304,0.323,0.374,0.566,0.405,154,0.8,46.9,31.8,10.6,1010978
2002,Alex Rodriguez,Rangers,162,725,57,125,142,9,12.00%,16.80%,0.324,0.29,0.3,0.392,0.623,0.424,158,4.7,56.1,19.6,10,1274
2000,Alex Rodriguez,Mariners,148,672,41,134,132,15,14.90%,18.00%,0.291,0.333,0.316,0.42,0.606,0.431,158,1.3,54.4,22.6,9.5,1274
1996,Alex Rodriguez,Mariners,146,677,36,141,123,15,8.70%,15.40%,0.273,0.382,0.358,0.414,0.631,0.443,159,1,56,15.8,9.2,1274
2003,Alex Rodriguez,Rangers,161,715,47,124,118,17,12.20%,17.60%,0.301,0.305,0.298,0.396,0.6,0.416,151,4.3,50.3,18.2,9.2,1274
1995,John Valentin,Red Sox,135,621,27,108,102,20,13.00%,10.80%,0.235,0.296,0.298,0.399,0.533,0.405,138,1.6,32.6,30.4,8.2,1375
1998,Alex Rodriguez,Mariners,161,748,42,123,124,46,6.00%,16.20%,0.249,0.324,0.31,0.36,0.56,0.394,135,3.6,37.8,16.5,7.9,1274
2001,Alex Rodriguez,Rangers,162,732,52,133,135,18,10.20%,17.90%,0.304,0.325,0.318,0.399,0.622,0.425,159,2.3,56.6,-1.9,7.8,1274
1987,Alan Trammell,Tigers,151,668,28,109,105,21,9.00%,7.00%,0.208,0.335,0.343,0.402,0.551,0.407,152,3,47,8,7.7,1013157
2000,Nomar Garciaparra,Red Sox,140,599,21,104,96,5,10.20%,8.30%,0.227,0.378,0.372,0.434,0.599,0.432,154,0.2,44.4,15,7.6,190
2008,Hanley Ramirez,Marlins,153,693,33,125,67,35,13.30%,17.60%,0.239,0.329,0.301,0.4,0.54,0.403,144,6.3,44.8,7.6,7.5,8001
2016,Corey Seager,Dodgers,157,687,26,105,72,3,7.90%,19.40%,0.204,0.355,0.308,0.365,0.512,0.372,136,2.6,33.2,17.5,7.4,13624
1999,Derek Jeter,Yankees,158,739,24,134,102,19,12.30%,15.70%,0.203,0.396,0.349,0.438,0.552,0.428,156,0.2,55.9,-2.4,7.4,826
1998,Nomar Garciaparra,Red Sox,143,652,35,111,122,12,5.10%,9.50%,0.262,0.311,0.323,0.362,0.584,0.402,139,-0.2,32.6,18.7,7.3,190
2001,Rich Aurilia,Giants,156,689,37,114,97,1,6.80%,12.00%,0.248,0.326,0.324,0.369,0.572,0.397,144,-1.1,38.5,11.8,7.1,1106
2009,Hanley Ramirez,Marlins,151,652,24,101,106,27,9.40%,15.50%,0.201,0.379,0.342,0.41,0.543,0.407,149,5.1,44,6.2,7.1,8001
1986,Cal Ripken,Orioles,162,707,25,98,81,4,9.90%,8.50%,0.179,0.277,0.282,0.355,0.461,0.359,123,0,19.3,24.9,6.9,1010978
1996,Barry Larkin,Reds,152,627,33,117,89,36,15.30%,8.30%,0.269,0.276,0.298,0.41,0.567,0.417,157,2.5,47.5,5.7,6.8,335
1989,Ozzie Smith,Cardinals,155,664,2,82,50,29,8.30%,5.60%,0.088,0.287,0.273,0.335,0.361,0.317,102,2.8,4.1,40.2,6.7,1012186
2009,Derek Jeter,Yankees,153,716,18,107,66,30,10.10%,12.60%,0.131,0.368,0.334,0.406,0.465,0.385,130,2.5,29.6,12.2,6.6,826
2016,Manny Machado,Orioles,157,696,37,105,96,0,6.90%,17.20%,0.239,0.309,0.294,0.343,0.533,0.366,130,-0.4,24.7,15.9,6.6,11493
1993,Jay Bell,Pirates,154,701,9,102,51,16,11.00%,17.40%,0.127,0.376,0.31,0.392,0.437,0.371,125,-0.8,21.3,19.3,6.6,48
2007,Jimmy Rollins,Phillies,162,778,30,139,94,41,6.30%,10.90%,0.235,0.3,0.296,0.344,0.531,0.371,119,11.8,30.6,10,6.5,971
1997,Nomar Garciaparra,Red Sox,153,734,30,122,98,22,4.80%,12.50%,0.228,0.315,0.306,0.342,0.534,0.374,122,0.6,20.9,18.3,6.4,190
1988,Barry Larkin,Reds,151,652,12,91,56,40,6.30%,3.70%,0.133,0.291,0.296,0.347,0.429,0.347,122,4.8,20.2,18.9,6.3,335
2003,Edgar Renteria,Cardinals,157,663,13,96,100,34,9.80%,8.10%,0.15,0.343,0.33,0.394,0.48,0.375,128,5.9,30,12.3,6.3,1178
1999,Nomar Garciaparra,Red Sox,135,595,27,103,104,14,8.60%,6.60%,0.246,0.347,0.357,0.418,0.603,0.434,157,1.5,46.5,0.2,6.3,190
1987,Ozzie Smith,Cardinals,158,706,0,104,75,43,12.60%,5.10%,0.08,0.32,0.303,0.392,0.383,0.35,114,4.4,16.5,22.4,6.3,1012186
2016,Francisco Lindor,Indians,158,684,15,99,78,19,8.30%,12.90%,0.134,0.324,0.301,0.358,0.435,0.34,111,1,10.2,27.7,6.2,12916
1990,Cal Ripken,Orioles,161,695,21,78,84,3,11.80%,9.50%,0.165,0.248,0.25,0.341,0.415,0.333,109,-0.1,7.4,30.7,6.2,1010978
1998,Derek Jeter,Yankees,149,694,19,127,84,30,8.20%,17.10%,0.157,0.375,0.324,0.384,0.481,0.379,128,3.4,29,10.1,6.2,826
1990,Alan Trammell,Tigers,146,637,14,71,89,12,10.70%,8.60%,0.145,0.315,0.304,0.377,0.449,0.368,131,-1.8,20.8,18.2,6.2,1013157
2006,Derek Jeter,Yankees,154,715,14,118,97,34,9.70%,14.30%,0.14,0.391,0.343,0.417,0.483,0.392,138,5.2,39.9,-1.2,6.1,826
1991,Barry Larkin,Reds,123,527,20,88,69,24,10.40%,12.10%,0.205,0.314,0.302,0.378,0.506,0.393,148,2.4,31.2,9.4,6,335
2004,Miguel Tejada,Orioles,162,725,34,107,150,4,6.60%,10.10%,0.224,0.302,0.311,0.36,0.534,0.376,129,-2.3,24.8,12.2,6,941
1999,Omar Vizquel,Indians,144,664,5,112,66,42,9.80%,7.50%,0.103,0.354,0.333,0.397,0.436,0.372,115,4.3,18,21.5,6,411
1998,Barry Larkin,Reds,145,626,17,93,72,26,12.60%,11.00%,0.195,0.327,0.309,0.397,0.504,0.391,135,3.9,32,8.6,5.9,335
2008,Jose Reyes,Mets,159,763,16,113,68,56,8.70%,10.70%,0.179,0.317,0.297,0.358,0.475,0.359,118,7.7,25.4,8.9,5.9,1736
2011,Jose Reyes,Mets,126,586,7,101,44,39,7.30%,7.00%,0.156,0.353,0.337,0.384,0.493,0.376,142,6.7,34.9,2.3,5.9,1736
2017,Francisco Lindor,Indians,159,723,33,99,89,15,8.30%,12.90%,0.232,0.275,0.273,0.337,0.505,0.353,118,4.7,21,12.8,5.9,12916
1988,Ozzie Smith,Cardinals,153,669,3,80,51,57,11.10%,6.40%,0.066,0.284,0.27,0.35,0.336,0.316,102,7.4,8.5,26.2,5.8,1012186
1989,Cal Ripken,Orioles,162,712,21,80,93,3,8.00%,10.10%,0.144,0.259,0.257,0.317,0.401,0.323,104,-0.5,2.5,29.8,5.8,1010978
2003,Nomar Garciaparra,Red Sox,156,719,28,120,105,19,5.40%,8.50%,0.223,0.294,0.301,0.345,0.524,0.369,124,5.9,27.1,7.2,5.8,190
2006,Carlos Guillen,Tigers,153,622,19,100,85,20,11.40%,14.00%,0.199,0.351,0.32,0.4,0.519,0.391,137,1,30.3,8.3,5.8,1079
2012,Ben Zobrist,Rays,157,668,20,88,74,14,14.50%,15.40%,0.202,0.296,0.27,0.377,0.471,0.365,137,-4.3,24.7,8.3,5.8,7435
2017,Corey Seager,Dodgers,145,613,22,85,77,4,10.90%,21.40%,0.184,0.352,0.295,0.375,0.479,0.364,127,3.6,25.1,12.6,5.7,13624
2006,Jose Reyes,Mets,153,703,19,122,81,64,7.50%,11.50%,0.187,0.32,0.3,0.354,0.487,0.358,116,9,23.6,12,5.7,1736
1986,Alan Trammell,Tigers,151,653,21,107,75,25,9.00%,8.70%,0.192,0.276,0.277,0.347,0.469,0.358,123,0.1,18,15.7,5.7,1013157
2016,Brandon Crawford,Giants,155,623,12,67,84,7,9.10%,18.50%,0.156,0.322,0.275,0.342,0.43,0.327,106,3.4,7.6,28,5.7,5343
2007,Jose Reyes,Mets,160,765,12,119,57,78,10.10%,10.20%,0.141,0.302,0.28,0.354,0.421,0.337,101,11.6,13,18.9,5.6,1736
1985,Ozzie Smith,Cardinals,158,615,6,70,54,31,10.60%,4.40%,0.086,0.281,0.276,0.355,0.361,0.321,104,2.8,5.5,28.7,5.6,1012186
2010,Troy Tulowitzki,Rockies,122,529,27,89,95,11,9.10%,14.70%,0.253,0.327,0.315,0.381,0.568,0.406,140,-0.2,25.1,12.1,5.6,3531
2011,Troy Tulowitzki,Rockies,143,606,30,81,105,9,9.70%,13.00%,0.242,0.305,0.302,0.372,0.544,0.389,133,-4.4,18.6,13.9,5.4,3531
2004,Carlos Guillen,Tigers,136,583,20,97,97,12,8.90%,14.90%,0.224,0.348,0.318,0.379,0.542,0.391,141,3.6,33.8,2,5.4,1079
1997,Jay Bell,Royals,153,660,21,89,92,10,10.80%,15.30%,0.169,0.317,0.291,0.368,0.461,0.364,116,-0.5,12.8,18.9,5.4,48
1985,Cal Ripken,Orioles,161,718,26,116,110,2,9.30%,9.50%,0.187,0.279,0.282,0.347,0.469,0.359,124,-1,19.4,8.8,5.4,1010978
1993,Jeff Blauser,Braves,161,710,15,110,73,16,12.00%,15.40%,0.131,0.348,0.305,0.401,0.436,0.379,128,0.9,25.5,3.2,5.4,1001062
1990,Barry Larkin,Reds,158,681,7,85,67,30,7.20%,7.20%,0.094,0.317,0.301,0.358,0.396,0.341,107,3.7,9.4,18.3,5.4,335
2009,Troy Tulowitzki,Rockies,151,628,32,101,92,20,11.60%,17.80%,0.256,0.316,0.297,0.377,0.552,0.395,132,-1.2,23.6,9.7,5.4,3531
1988,Alan Trammell,Tigers,128,523,15,73,69,7,8.80%,8.80%,0.152,0.316,0.311,0.373,0.464,0.369,134,-0.6,19.8,12.6,5.3,1013157
1992,Barry Larkin,Reds,140,609,12,76,78,15,10.30%,9.50%,0.15,0.319,0.304,0.377,0.454,0.371,134,1.3,24.2,5.5,5.3,335
2014,Jhonny Peralta,Cardinals,157,628,21,61,75,3,9.20%,17.80%,0.18,0.292,0.263,0.336,0.443,0.343,120,-3.5,10.7,18.8,5.3,1738
2013,Troy Tulowitzki,Rockies,126,512,25,72,82,1,11.10%,16.60%,0.229,0.334,0.312,0.391,0.54,0.4,141,-1.6,21.8,11.9,5.3,3531
1995,Barry Larkin,Reds,131,567,15,98,66,51,10.80%,8.60%,0.173,0.328,0.319,0.394,0.492,0.389,136,7.9,33.3,1.7,5.3,335
2009,Jason Bartlett,Rays,137,567,14,90,66,30,9.50%,15.70%,0.17,0.364,0.32,0.389,0.49,0.383,136,7.1,32.7,0.2,5.2,8219
2002,Derek Jeter,Yankees,157,730,18,124,75,32,10.00%,15.60%,0.124,0.336,0.297,0.373,0.421,0.352,116,5.9,20.5,7,5.2,826
1997,Jeff Blauser,Braves,151,623,17,90,70,5,11.20%,16.20%,0.173,0.349,0.308,0.405,0.482,0.388,135,0.6,28,5.5,5.2,1001062
2007,Troy Tulowitzki,Rockies,155,682,24,104,99,7,8.40%,19.10%,0.189,0.335,0.291,0.359,0.479,0.364,109,0.4,8.4,22.2,5.2,3531
2007,Hanley Ramirez,Marlins,154,706,29,125,81,51,7.40%,13.50%,0.23,0.353,0.332,0.386,0.562,0.405,144,3.7,43.8,-14,5.2,8001
1993,John Valentin,Red Sox,144,539,11,50,66,3,9.10%,14.30%,0.169,0.31,0.278,0.346,0.447,0.35,109,-1,4.8,29.5,5.2,1375
2006,Bill Hall,Brewers,148,608,35,101,85,8,10.40%,26.60%,0.283,0.32,0.27,0.345,0.553,0.374,124,0.3,19.4,13.1,5.1,1605
1992,Ozzie Smith,Cardinals,132,590,0,73,31,43,10.00%,5.80%,0.046,0.315,0.295,0.367,0.342,0.327,107,5,9.7,20.1,5.1,1012186
1991,Ozzie Smith,Cardinals,150,641,3,96,50,35,12.90%,5.60%,0.082,0.301,0.285,0.38,0.367,0.345,119,3.4,17,10.7,5.1,1012186
1999,Barry Larkin,Reds,161,687,12,108,75,30,13.50%,8.30%,0.127,0.307,0.293,0.39,0.42,0.362,108,2.4,10,20.5,5.1,335
2016,Carlos Correa,Astros,153,660,20,76,96,13,11.40%,21.10%,0.177,0.328,0.274,0.361,0.451,0.349,123,4,21.9,4.7,5,14162
2017,Zack Cozart,Reds,122,507,24,80,63,3,12.20%,15.40%,0.251,0.312,0.297,0.385,0.548,0.392,141,-1.5,25.3,8.6,5,2616
2008,Jimmy Rollins,Phillies,137,625,11,76,59,47,9.30%,8.80%,0.16,0.29,0.277,0.349,0.437,0.342,104,8.1,11,18.8,5,971
2004,Jimmy Rollins,Phillies,154,725,14,119,73,30,7.90%,10.10%,0.166,0.308,0.289,0.348,0.455,0.347,105,8.7,13,13.7,5,971
1988,Cal Ripken,Orioles,161,689,23,87,81,2,14.80%,10.00%,0.167,0.262,0.264,0.372,0.431,0.359,127,-1,20.4,2.7,5,1010978
2006,Miguel Tejada,Orioles,162,709,24,99,100,6,6.50%,11.10%,0.168,0.345,0.33,0.379,0.498,0.374,125,-3.8,18.7,7.8,4.9,941
2017,Andrelton Simmons,Angels,158,647,14,77,69,19,7.30%,10.40%,0.143,0.291,0.278,0.331,0.421,0.323,103,2,4.6,22.6,4.9,10847
1990,Tony Fernandez,Blue Jays,161,721,4,84,66,26,9.80%,9.70%,0.115,0.302,0.276,0.352,0.391,0.335,108,-0.2,6.5,17.5,4.9,1004002
1986,Ozzie Smith,Cardinals,153,609,0,67,54,31,13.00%,4.40%,0.053,0.294,0.28,0.376,0.333,0.321,101,3.3,4,23.9,4.9,1012186
2016,Xander Bogaerts,Red Sox,157,719,21,115,89,13,8.10%,17.10%,0.152,0.335,0.294,0.356,0.446,0.348,115,6.1,18.9,4.2,4.9,12161
2010,Stephen Drew,Diamondbacks,151,633,15,83,61,10,9.80%,17.10%,0.181,0.321,0.278,0.352,0.458,0.355,113,1.5,11.5,15.4,4.8,4251
1987,Tony Fernandez,Blue Jays,146,642,5,90,67,32,7.90%,7.50%,0.104,0.342,0.322,0.379,0.426,0.355,115,1,13.4,13.5,4.8,1004002
2013,Ian Desmond,Nationals,158,655,20,77,80,21,6.60%,22.10%,0.173,0.336,0.28,0.331,0.453,0.341,116,1.9,13.4,11.6,4.8,6885
2002,Nomar Garciaparra,Red Sox,156,693,24,101,120,5,5.90%,9.10%,0.217,0.309,0.31,0.352,0.528,0.373,127,2.5,25.9,-1.7,4.8,190
2007,Orlando Cabrera,Angels,155,701,8,101,86,20,6.30%,9.10%,0.096,0.319,0.301,0.345,0.397,0.328,97,7.9,5.4,19.2,4.8,766
2011,Jhonny Peralta,Tigers,146,576,21,68,86,0,6.90%,16.50%,0.179,0.325,0.299,0.345,0.478,0.356,122,-4.9,9.5,16.7,4.7,1738
1999,Alex Rodriguez,Mariners,129,572,42,110,111,21,9.80%,19.10%,0.301,0.281,0.285,0.357,0.586,0.395,136,1,28.9,1.9,4.7,1274
2005,Miguel Tejada,Orioles,162,704,26,89,98,5,5.70%,11.80%,0.211,0.316,0.304,0.349,0.515,0.367,126,-2.1,20.5,2.7,4.7,941
2004,Derek Jeter,Yankees,154,721,23,111,78,23,6.40%,13.70%,0.179,0.315,0.292,0.352,0.471,0.356,117,2.4,17.7,6.1,4.7,826
2012,Jimmy Rollins,Phillies,156,699,23,102,68,30,8.90%,13.70%,0.177,0.262,0.25,0.316,0.427,0.322,101,7.7,8.3,14.9,4.7,971
2005,Felipe Lopez,Reds,148,648,23,97,85,15,8.80%,17.10%,0.195,0.322,0.291,0.352,0.486,0.36,116,3.9,17.4,8,4.7,1311
2012,Ian Desmond,Nationals,130,547,25,72,73,21,5.50%,20.70%,0.218,0.332,0.292,0.335,0.511,0.362,128,-0.7,17.2,10.3,4.7,6885
1994,Cal Ripken,Orioles,112,484,13,71,75,1,6.60%,8.50%,0.144,0.322,0.315,0.364,0.459,0.359,111,0.2,7.5,23.1,4.6,1010978
2005,Julio Lugo,Devil Rays,158,690,6,89,57,39,8.80%,10.40%,0.107,0.325,0.295,0.362,0.403,0.339,109,5.9,13.4,8.8,4.6,565
2013,Andrelton Simmons,Braves,157,658,17,76,59,6,6.10%,8.40%,0.149,0.247,0.248,0.296,0.396,0.303,91,-2.6,-9,31.6,4.5,10847
2005,Rafael Furcal,Braves,154,689,12,100,58,46,9.00%,11.30%,0.144,0.307,0.284,0.348,0.429,0.338,105,7.5,11.7,11,4.5,88
2002,Miguel Tejada,Athletics,162,715,34,108,131,7,5.30%,11.70%,0.199,0.31,0.308,0.354,0.508,0.371,129,3.6,29.5,-8.8,4.5,941
2002,David Eckstein,Angels,152,702,8,107,63,21,6.40%,6.30%,0.095,0.301,0.293,0.363,0.388,0.336,105,5.7,10.2,10.6,4.5,10
1993,Travis Fryman,Tigers,151,695,22,98,97,9,11.10%,18.40%,0.186,0.346,0.3,0.379,0.486,0.382,132,0.3,27.6,-5,4.5,385
1986,Tony Fernandez,Blue Jays,163,727,10,91,65,25,3.70%,7.20%,0.118,0.323,0.31,0.338,0.428,0.339,107,0.1,6.4,12.9,4.5,1004002
2000,Jose Valentin,White Sox,144,648,25,107,92,19,9.10%,16.40%,0.218,0.295,0.273,0.343,0.491,0.358,107,3,9,15.2,4.5,256
2002,Jose Hernandez,Brewers,152,582,24,72,73,3,8.90%,32.30%,0.19,0.404,0.288,0.356,0.478,0.36,119,-4.1,9.4,16.3,4.5,688
2015,Brandon Crawford,Giants,143,561,21,65,84,6,7.00%,21.20%,0.205,0.294,0.256,0.321,0.462,0.332,113,-1.4,7.4,17.1,4.5,5343
2011,J.J. Hardy,Orioles,129,567,30,76,80,0,5.50%,16.20%,0.222,0.273,0.269,0.31,0.491,0.344,113,0.5,8.9,14.7,4.4,3797
1991,Jay Bell,Pirates,157,697,16,96,67,10,7.50%,14.20%,0.158,0.298,0.27,0.33,0.428,0.339,116,-0.4,12.3,7.3,4.4,48
1999,Mike Bordick,Orioles,160,708,10,93,77,14,7.60%,14.40%,0.125,0.312,0.277,0.334,0.403,0.325,91,1,-7.9,28.4,4.4,129
2005,Derek Jeter,Yankees,159,752,19,122,70,14,10.20%,15.60%,0.141,0.351,0.309,0.389,0.45,0.369,129,0.2,26.4,-8.1,4.4,826
2006,Hanley Ramirez,Marlins,158,700,17,119,59,51,8.00%,18.30%,0.188,0.343,0.292,0.353,0.48,0.358,116,10,24.5,-2.6,4.4,8001
1988,Tony Fernandez,Blue Jays,154,704,5,76,70,15,6.40%,9.20%,0.099,0.311,0.287,0.335,0.386,0.324,102,0.5,1.9,16.2,4.4,1004002
2015,Xander Bogaerts,Red Sox,156,654,7,84,81,10,4.90%,15.40%,0.101,0.372,0.32,0.355,0.421,0.338,111,3.7,11.8,8,4.4,12161
2006,Jimmy Rollins,Phillies,158,758,25,127,83,36,7.50%,10.60%,0.2,0.281,0.277,0.334,0.478,0.346,103,4.8,7.6,12,4.3,971
2004,Jack Wilson,Pirates,157,693,11,82,59,8,3.80%,10.20%,0.15,0.33,0.308,0.335,0.459,0.341,103,3.3,6.2,14.9,4.3,1017
1997,Alex Rodriguez,Mariners,141,638,23,100,84,29,6.40%,15.50%,0.196,0.328,0.3,0.35,0.496,0.368,119,3.3,18.8,2.5,4.3,1274
2005,Jhonny Peralta,Indians,141,570,24,82,78,0,10.20%,22.50%,0.228,0.346,0.292,0.366,0.52,0.378,136,-1.8,23,0.3,4.3,1738
2001,Derek Jeter,Yankees,150,686,21,110,74,27,8.20%,14.40%,0.169,0.343,0.311,0.377,0.48,0.371,130,4.5,30.3,-10.2,4.2,826
2014,Erick Aybar,Angels,156,641,7,77,68,16,5.60%,9.70%,0.1,0.297,0.278,0.321,0.379,0.308,101,2.8,3.4,14.6,4.2,4082
2010,Hanley Ramirez,Marlins,142,619,21,92,76,32,10.30%,15.00%,0.175,0.327,0.3,0.378,0.475,0.369,127,4.6,24.5,-3.2,4.2,8001
2009,Marco Scutaro,Blue Jays,144,680,12,100,60,14,13.20%,11.00%,0.127,0.304,0.282,0.379,0.409,0.353,112,2.8,12.9,5.7,4.2,1555
2003,Orlando Cabrera,Expos,162,691,17,95,80,24,7.50%,9.30%,0.163,0.305,0.297,0.347,0.46,0.348,106,6.4,11.4,8.4,4.2,766
1992,Jay Bell,Pirates,159,712,9,87,55,7,7.70%,14.50%,0.119,0.303,0.264,0.326,0.383,0.324,105,-0.7,3.2,13.7,4.2,48
1992,Travis Fryman,Tigers,161,721,20,87,96,8,6.20%,20.00%,0.15,0.309,0.266,0.316,0.416,0.33,103,-0.1,2.5,13.7,4.1,385
